	Superworm_1a	Superworm_1b	Superworm_2a	Superworm_2b	Superworm_3a	Superworm_3b	Mealworm_1a	Mealworm_2a	Mealworm_2b	Mealworm_3a
Superworm_MAG_0001	0.006702404	0.009312398	0.002651876	0.016742797	5.87E-05	0.001473522	0	0	0	0
Superworm_MAG_0002	0.126773333	0.049285628	0.078072878	0.481345112	0.101007209	0.15737931	0	0	0	0
Superworm_MAG_0003	0.007803725	0.003684047	0.002593201	0.001757063	0.000572261	0.002288193	0	0	0	0
Superworm_MAG_0004	0.052038472	0.309173435	0.863772511	0.487876236	0.076524541	0.614044107	0	0	0	0
Superworm_MAG_0005	0.007450924	0.022715235	0.025809033	1.880686844	0.001210246	0.063232362	0	0	0	0
Superworm_MAG_0006	0.009768718	0.006551753	0.063106708	0.604621667	0.003525918	0.032091731	0	0	0	0
Superworm_MAG_0007	12.21015448	13.77545209	29.91273279	1.470379623	26.33591846	12.86674584	0	0	0	0
Superworm_MAG_0008	0.086014213	0.05406862	0.222729104	0.011607238	0.009312162	0.025946101	0	0	0	0
Superworm_MAG_0009	0.176218861	0.63732387	0.069537476	0.587470586	0.024104182	0.146086226	0	0	0	0
Superworm_MAG_0010	0.055921396	2.664133027	0.268520544	0.644061719	0.01665777	0.263818447	0	0	0	0
Superworm_MAG_0011	5.25E-05	0.000190713	3.85E-06	1.29E-06	0.00030987	0.000281274	0	0	0	0
Superworm_MAG_0012	0.460270689	0.131611777	0.099697728	0.03840143	0.132704556	0.353647385	0	0	0	0
Superworm_MAG_0013	2.14E-05	0.164688532	3.79E-05	3.94E-06	7.52E-06	1.63E-05	0	0	0	0
Superworm_MAG_0014	0.088562174	0.101324251	0.960129791	0.529550603	0.05952732	0.139833006	0	0	0	0
Superworm_MAG_0015	4.55E-05	0.000192439	2.01E-05	3.04E-05	0.000101438	5.67E-05	0	0	0	0
Superworm_MAG_0016	0.043697621	0.010819028	0.004083003	0.000200377	0.02889805	0.027277603	0	0	0	0
Superworm_MAG_0017	0.099798281	0.030740389	0.06248704	0.007202933	0.024926165	0.128192265	0	0	0	0
Superworm_MAG_0018	0.032041636	0.068581593	0.000254337	3.03E-05	0.002318708	0.002976838	0	0	0	0
Superworm_MAG_0019	0.030371975	0.335764265	0.007125904	0.005671255	0.027068276	0.011668306	0	0	0	0
Superworm_MAG_0020	0.176175791	0.342307591	0.075730326	0.097216706	0.092156167	0.101910385	0	0	0	0
Superworm_MAG_0021	0.004600359	0.00382156	0.007614679	0.001485065	0.001881307	0.011315002	0	0	0	0
